item_id,museum,source_object_id,source_accession_number,title,title_original,description,culture,culture_original,period,period_original,object_type,object_type_original,material,material_original,technique,technique_original,provenance,classification,country,region,image_url,object_url,license,dataset_split,review_status,review_decision_original,review_reason,reviewer,review_date,source_branch,source_commit,source_file,enrichment_source_file,metadata_recovery_source,metadata_recovery_version,adapter_name,adapter_version,processing_timestamp,image_local_path,image_sha256,image_phash
MET:316910,MET,316910,,Fragmento textil,Sash Fragment,,Peruvian,Peruvian,14th–early 16th century,14th–early 16th century,Sash fragment,Sash fragment,Cotton,Cotton,,,,Textil,Peru,,"https://images.metmuseum.org/CRDImages/ao/original/DP18680_1994.35.85,2.jpg",https://www.metmuseum.org/art/collection/search/316910,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316913,MET,316913,,Bolsa textil,Chuspa (coca bag),,Moche,Moche,650-850 CE,650-850 CE,bolso_textil,bolso_textil,algodón; fibra de camélido,"Cotton, camelid hair, and dye",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,https://www.metmuseum.org/art/collection/search/316913,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['bag'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316915,MET,316915,,Fragmento textil,Sash Fragments,,Peruvian,Peruvian,14th–early 16th century,14th–early 16th century,Sash fragment,Sash fragment,Cotton,Cotton,,,,Textil,Peru,,"https://images.metmuseum.org/CRDImages/ao/original/DP18677_1994.35.90A,B.jpg",https://www.metmuseum.org/art/collection/search/316915,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316916,MET,316916,,Fragmento textil,Sash Fragments,,Peruvian,Peruvian,14th–early 16th century,14th–early 16th century,Sash fragment,Sash fragment,Cotton,Cotton,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18678_1994.35.91.jpg,https://www.metmuseum.org/art/collection/search/316916,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316921,MET,316921,,Bolsa textil,Bag,,Nasca (?),Nasca (?),2nd–7th century,2nd–7th century,Bag,Bag,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18608.jpg,https://www.metmuseum.org/art/collection/search/316921,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316925,MET,316925,,Bolsa textil,Bag,,Nasca (?),Nasca (?),2nd–7th century,2nd–7th century,Bag,Bag,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP18612.jpg,https://www.metmuseum.org/art/collection/search/316925,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316931,MET,316931,,Banda o vincha textil,Headband,,Peruvian,Peruvian,7th–10th century,7th–10th century,Headband,Headband,Camelid hair,Camelid hair,,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/1994.35.106_a.JPG,https://www.metmuseum.org/art/collection/search/316931,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,composicion_visual_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316935,MET,316935,,Banda o vincha textil,Headband,,Nasca (?),Nasca (?),2nd–7th century,2nd–7th century,Headband,Headband,"Cotton, camelid hair","Cotton, camelid hair",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/vs1994.35.110.jpg,https://www.metmuseum.org/art/collection/search/316935,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,composicion_visual_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316939,MET,316939,,Túnica textil,Miniature Tunic,,Inca,Inca,14th–early 16th century,14th–early 16th century,tunica,tunica,algodón; fibra de camélido,"Cotton, camelid hair",tejido,tejido,Peru,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-003.jpg,https://www.metmuseum.org/art/collection/search/316939,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,superficie amplia o composición visual útil detectada: ['tunic'],,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
MET:316945,MET,316945,,Fragmento textil,Border Fragment,,Paracas,Paracas,450–175 BCE,450–175 BCE,Border fragment,Border fragment,"Cotton, camelid hair","Cotton, camelid hair",,,,Textil,Peru,,https://images.metmuseum.org/CRDImages/ao/original/DP-28474-001.jpg,https://www.metmuseum.org/art/collection/search/316945,Dominio público / Open Access según metadata de The Met,principal,aprobado,mantener,fragmento_textil_util,,,mejora/met-flujo-reproducible-es,a5f32a929d7c895c4b151e162f734746c226abc4,data/metadata/met_corpus_principal_v2_revisado.csv,data/processed/corpus_met_textiles_andinos_v1_inventario_base.csv,met_inventario_base,1.0.0,met_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
