item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
CMA:134765,CMA,https://openaccess-cdn.clevelandart.org/1957.340/1957.340_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:134948,CMA,https://openaccess-cdn.clevelandart.org/1957.495/1957.495_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:137312,CMA,https://openaccess-cdn.clevelandart.org/1962.240/1962.240_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:149062,CMA,https://openaccess-cdn.clevelandart.org/1977.190/1977.190_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:152258,CMA,https://openaccess-cdn.clevelandart.org/1985.139/1985.139_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:152334,CMA,https://openaccess-cdn.clevelandart.org/1985.193/1985.193_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:152819,CMA,https://openaccess-cdn.clevelandart.org/1985.7/1985.7_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:155505,CMA,https://openaccess-cdn.clevelandart.org/1990.225/1990.225_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:155934,CMA,https://openaccess-cdn.clevelandart.org/1991.223/1991.223_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:156237,CMA,https://openaccess-cdn.clevelandart.org/1992.103/1992.103_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:157111,CMA,https://openaccess-cdn.clevelandart.org/1993.242/1993.242_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:157112,CMA,https://openaccess-cdn.clevelandart.org/1993.243/1993.243_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:160691,CMA,https://openaccess-cdn.clevelandart.org/1998.52/1998.52_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:160692,CMA,https://openaccess-cdn.clevelandart.org/1998.53/1998.53_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163622,CMA,https://openaccess-cdn.clevelandart.org/2005.13/2005.13_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163640,CMA,https://openaccess-cdn.clevelandart.org/2005.14/2005.14_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163676,CMA,https://openaccess-cdn.clevelandart.org/2005.15/2005.15_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163708,CMA,https://openaccess-cdn.clevelandart.org/2005.16/2005.16_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163724,CMA,https://openaccess-cdn.clevelandart.org/2005.17/2005.17_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163758,CMA,https://openaccess-cdn.clevelandart.org/2005.18/2005.18_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:163781,CMA,https://openaccess-cdn.clevelandart.org/2005.19/2005.19_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:164419,CMA,https://openaccess-cdn.clevelandart.org/2005.5/2005.5_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:164421,CMA,https://openaccess-cdn.clevelandart.org/2005.5.2/2005.5.2_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:164428,CMA,https://openaccess-cdn.clevelandart.org/2005.53/2005.53_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:164429,CMA,https://openaccess-cdn.clevelandart.org/2005.53.a/2005.53.a_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:164430,CMA,https://openaccess-cdn.clevelandart.org/2005.53.b/2005.53.b_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
