field,museum,source_key,source_label,record_count,example_item_ids,example_titles,canonical_label,canonical_level,mapping_decision,mapping_rationale,reviewer,review_date
period,CMA,1000–1460s,1000–1460s,2,CMA:152819 || CMA:156237,Two Tapestry-woven Panel Fragments || Tapestry Panel,,,pendiente,,,
period,CMA,1200–1400,1200–1400,2,CMA:160691 || CMA:160692,Trapezoidal Bag,,,pendiente,,,
period,CMA,1400–1532,1400–1532,2,CMA:114131 || CMA:292530,Fish-Shaped Applique || Tunic with Frontal Figures,,,pendiente,,,
period,CMA,"170 bce–70 ce (radiocarbon date, 95% probability)","170 BCE–70 CE (radiocarbon date, 95% probability)",2,CMA:119684 || CMA:119693,"Mummy Bundle ""Mask"" || Cloth with Procession of Figures",,,pendiente,,,
period,CMA,200 bce–1 ce,200 BCE–1 CE,2,CMA:119678 || CMA:119679,"Mummy Bundle ""Mask""",,,pendiente,,,
period,CMA,400 bce–700 ce,400 BCE–700 CE,2,CMA:157111 || CMA:157112,Triple Cloth || Double Cloth,,,pendiente,,,
period,CMA,600–1000,600–1000,2,CMA:164428 || CMA:165184,Tunic Fragments with Bird-Headed Creature || Tunic with Sacrificer,,,pendiente,,,
period,CMA,c. 300 bce–200 ce,c. 300 BCE–200 CE,2,CMA:124739 || CMA:124740,Mantle || Tunic,,,pendiente,,,
period,CMA,c. 300–100 bce,c. 300–100 BCE,2,CMA:119690 || CMA:124741,Fragment of Embroidered Cloth || Turban Band (Llauto),,,pendiente,,,
period,CMA,c. 500–1000,c. 500–1000,2,CMA:164429 || CMA:164430,Half of a Sleeved Tunic,,,pendiente,,,
period,CMA,1000–1532,1000–1532,1,CMA:166766,Loincloth with Feather(?) Motifs,,,pendiente,,,
period,CMA,1100–1532,1100–1532,1,CMA:169189,Tunic,,,pendiente,,,
period,CMA,1405–1640,1405–1640,1,CMA:164419,"Peruvian Textiles: Mantle or Hanging, Loincloth, Turban, Padded Hat, Band with Tassels",,,pendiente,,,
period,CMA,"1425–1500 (radiocarbon date, 92.3% probability)","1425–1500 (radiocarbon date, 92.3% probability)",1,CMA:164421,Loincloth,,,pendiente,,,
period,CMA,1460s–1532,1460s–1532,1,CMA:302272,Sleeved Tunic,,,pendiente,,,
period,CMA,"1460–1632 (radiocarbon date, 95% probability)","1460–1632 (radiocarbon date, 95% probability)",1,CMA:130555,Large Cloth,,,pendiente,,,
period,CMA,16th century,16th century,1,CMA:128454,Half Tunic,,,pendiente,,,
period,CMA,200 bce–200 ce,200 BCE–200 CE,1,CMA:152334,Mantle Border Fragment with Oculate Being,,,pendiente,,,
period,CMA,300–100 bce,300–100 BCE,1,CMA:102924,Fragment of a Border,,,pendiente,,,
period,CMA,"410–540 ce (radiocarbon date, 93% probability)","410–540 CE (radiocarbon date, 93% probability)",1,CMA:163708,Tunic with Profile Animals and Checkerboards,,,pendiente,,,
period,CMA,500–200 bce,500–200 BCE,1,CMA:152258,Two Textile Fragment with Fanged Heads,,,pendiente,,,
period,CMA,650–850,650–850,1,CMA:108043,Tunic (Shirt) with Tapestry-woven Yoke,,,pendiente,,,
period,CMA,700–1 bce,700–1 BCE,1,CMA:163758,Panel from the End of a Sash,,,pendiente,,,
period,CMA,700–1100 a.d.,700–1100 A.D.,1,CMA:124413,Mantle Corner Fragment,,,pendiente,,,
period,CMA,700–1370s,700–1370s,1,CMA:155934,Tapestry Fragment,,,pendiente,,,
period,CMA,800–1100,800–1100,1,CMA:155505,Textile Fragment,,,pendiente,,,
period,CMA,800–1200?,800–1200?,1,CMA:108042,Tapestry-woven Yoke from a Tunic,,,pendiente,,,
period,CMA,c. 1100–1532,c. 1100–1532,1,CMA:119656,Dress,,,pendiente,,,
period,CMA,c. 1400–1532,c. 1400–1532,1,CMA:119655,Fragmentary Mantle,,,pendiente,,,
period,CMA,c. 1400–1540,c. 1400–1540,1,CMA:134604,Tunic,,,pendiente,,,
period,CMA,c. 600–400 bce,c. 600–400 BCE,1,CMA:119676,Mantle,,,pendiente,,,
period,CMA,c. 600–700,c. 600–700,1,CMA:134765,Fragment,,,pendiente,,,
