baseline_version,run_index,generator_seed,culture_canonical,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,4,20260718,Wari,strict_culture_universe,15,0.22736726236726237,0.06666666666666667,0.0047619047619047615,0.06666666666666667,0.09333333333333334,0.03333333333333333,0.0861302029861359,0.09333333333333332,0.06666666666666667,0.08992583483284096
random_multiseed_baseline_v1,4,20260718,Ychsma,strict_culture_universe,2,0.021896896896896896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,5,20260719,Chancay,strict_culture_universe,31,0.46159754224270355,0.3225806451612903,0.01075268817204301,0.3225806451612903,0.1806451612903226,0.030107526881720432,0.1995117307994666,0.1806451612903226,0.060215053763440864,0.19304827163541285
random_multiseed_baseline_v1,5,20260719,Chimu,strict_culture_universe,6,0.05425084175084175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,5,20260719,Inca,strict_culture_universe,17,0.23823774264950734,0.058823529411764705,0.003676470588235294,0.058823529411764705,0.11764705882352941,0.03676470588235294,0.10141923278511203,0.12352941176470589,0.07720588235294118,0.1111813490540054
random_multiseed_baseline_v1,5,20260719,Moche,strict_culture_universe,6,0.08950900794121132,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02434472497378441,0.03333333333333333,0.06666666666666667,0.042176913701661704
random_multiseed_baseline_v1,5,20260719,Nasca,strict_culture_universe,35,0.4312907727193442,0.17142857142857143,0.0050420168067226885,0.17142857142857143,0.1942857142857143,0.02857142857142857,0.197572309670652,0.22571428571428573,0.06638655462184874,0.21954251135869965
random_multiseed_baseline_v1,5,20260719,Paracas,strict_culture_universe,42,0.49657337682547764,0.30952380952380953,0.007549361207897794,0.30952380952380953,0.2571428571428572,0.0313588850174216,0.260091759153827,0.25476190476190474,0.062137049941927994,0.25771197353284714
random_multiseed_baseline_v1,5,20260719,Recuay,strict_culture_universe,3,0.026731078904991948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,5,20260719,Wari,strict_culture_universe,15,0.20876524347112585,0.06666666666666667,0.0047619047619047615,0.06666666666666667,0.09333333333333332,0.03333333333333333,0.09322864264678002,0.08666666666666667,0.0619047619047619,0.0883205198136609
random_multiseed_baseline_v1,5,20260719,Ychsma,strict_culture_universe,2,0.04068396226415094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,6,20260720,Chancay,strict_culture_universe,31,0.47549283154121863,0.3225806451612903,0.01075268817204301,0.3225806451612903,0.2,0.03333333333333333,0.21955199014763885,0.2,0.06666666666666667,0.2120304149866494
random_multiseed_baseline_v1,6,20260720,Chimu,strict_culture_universe,6,0.05903318903318903,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.01633988097189284
random_multiseed_baseline_v1,6,20260720,Inca,strict_culture_universe,17,0.16264030019519785,0.0,0.0,0.0,0.058823529411764705,0.01838235294117647,0.056329838040182184,0.052941176470588235,0.03308823529411765,0.05236229615683234
random_multiseed_baseline_v1,6,20260720,Moche,strict_culture_universe,6,0.06015466862148785,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02186751291872363,0.016666666666666666,0.03333333333333333,0.02186751291872363
random_multiseed_baseline_v1,6,20260720,Nasca,strict_culture_universe,35,0.46457823129251696,0.2571428571428571,0.007563025210084034,0.2571428571428571,0.23428571428571432,0.03445378151260504,0.23395603151884597,0.22857142857142856,0.06722689075630252,0.23106711115927528
random_multiseed_baseline_v1,6,20260720,Paracas,strict_culture_universe,42,0.4702286470143613,0.23809523809523808,0.005807200929152149,0.23809523809523808,0.2857142857142857,0.03484320557491289,0.27734747299729773,0.25,0.06097560975609756,0.25522868875502025
random_multiseed_baseline_v1,6,20260720,Recuay,strict_culture_universe,3,0.02206907787552949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,6,20260720,Wari,strict_culture_universe,15,0.2848792873792874,0.2,0.014285714285714285,0.2,0.08000000000000002,0.02857142857142857,0.09506394137921588,0.08000000000000002,0.05714285714285714,0.08942255842141893
random_multiseed_baseline_v1,6,20260720,Ychsma,strict_culture_universe,2,0.019726154560222788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,7,20260721,Chancay,strict_culture_universe,31,0.38956733230926777,0.16129032258064516,0.005376344086021505,0.16129032258064516,0.22580645161290322,0.03763440860215054,0.21762059114319526,0.23225806451612904,0.07741935483870968,0.22428578660345025
random_multiseed_baseline_v1,7,20260721,Chimu,strict_culture_universe,6,0.04975030928781995,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.017832188727877295
random_multiseed_baseline_v1,7,20260721,Inca,strict_culture_universe,17,0.25291783380018673,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.07058823529411766,0.022058823529411766,0.08051194676711593,0.07058823529411766,0.04411764705882353,0.07690559043084098
random_multiseed_baseline_v1,7,20260721,Moche,strict_culture_universe,6,0.08938492063492064,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02434472497378441,0.03333333333333333,0.06666666666666667,0.04447994209036677
random_multiseed_baseline_v1,7,20260721,Nasca,strict_culture_universe,35,0.40195970695970695,0.17142857142857143,0.0050420168067226885,0.17142857142857143,0.1942857142857143,0.02857142857142857,0.19359899628856522,0.19428571428571428,0.05714285714285714,0.19318385473000838
random_multiseed_baseline_v1,7,20260721,Paracas,strict_culture_universe,42,0.44801587301587303,0.2619047619047619,0.006387921022067364,0.2619047619047619,0.23333333333333334,0.028455284552845527,0.2385114432338297,0.23095238095238094,0.05632984901277584,0.23448902699230484
random_multiseed_baseline_v1,7,20260721,Recuay,strict_culture_universe,3,0.019129554655870445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,7,20260721,Wari,strict_culture_universe,15,0.18045157121130426,0.06666666666666667,0.0047619047619047615,0.06666666666666667,0.04000000000000001,0.014285714285714285,0.04818177150966344,0.08000000000000002,0.05714285714285714,0.0737981727487386
