baseline_version,culture_canonical,metric,run_count,mean,std,min,q025,median,q975,max
random_multiseed_baseline_v1,Chimu,precision_at_10,100,0.03716666666666666,0.023790023279347042,0.0,0.0,0.03333333333333333,0.08333333333333333,0.10000000000000002
random_multiseed_baseline_v1,Chimu,recall_at_10,100,0.07433333333333332,0.047580046558694085,0.0,0.0,0.06666666666666667,0.16666666666666666,0.20000000000000004
random_multiseed_baseline_v1,Chimu,ndcg_at_10,100,0.059636146766943426,0.04265042968309779,0.0,0.0,0.05551161049171935,0.16902752078151023,0.21586487509230357
random_multiseed_baseline_v1,Inca,mrr,100,0.26959452635692516,0.06732040194260099,0.12283201227837906,0.15409065509261816,0.2714205728911611,0.4214579884984294,0.442169670664025
random_multiseed_baseline_v1,Inca,precision_at_1,100,0.11058823529411764,0.07349910248756736,0.0,0.0,0.11764705882352941,0.2661764705882348,0.35294117647058826
random_multiseed_baseline_v1,Inca,recall_at_1,100,0.0069117647058823525,0.00459369390547296,0.0,0.0,0.007352941176470588,0.016636029411764675,0.022058823529411766
random_multiseed_baseline_v1,Inca,ndcg_at_1,100,0.11058823529411764,0.07349910248756736,0.0,0.0,0.11764705882352941,0.2661764705882348,0.35294117647058826
random_multiseed_baseline_v1,Inca,precision_at_5,100,0.10505882352941175,0.03282106103501625,0.03529411764705883,0.047058823529411764,0.10588235294117647,0.17088235294117637,0.18823529411764706
random_multiseed_baseline_v1,Inca,recall_at_5,100,0.032830882352941175,0.010256581573442579,0.011029411764705883,0.014705882352941176,0.03308823529411765,0.05340073529411762,0.058823529411764705
random_multiseed_baseline_v1,Inca,ndcg_at_5,100,0.10621095698310659,0.03480299636157889,0.03312913736316667,0.04623610207443955,0.10141923278511203,0.16774821904021633,0.19531054145593027
random_multiseed_baseline_v1,Inca,precision_at_10,100,0.10370588235294118,0.024754994616935366,0.03529411764705883,0.055735294117647056,0.10588235294117647,0.15294117647058825,0.1647058823529412
random_multiseed_baseline_v1,Inca,recall_at_10,100,0.06481617647058822,0.015471871635584604,0.022058823529411766,0.03483455882352941,0.0661764705882353,0.09558823529411764,0.10294117647058823
random_multiseed_baseline_v1,Inca,ndcg_at_10,100,0.10474610700560957,0.026041758992311606,0.04349016838902706,0.05253286191931747,0.10480925702211044,0.1568689247130102,0.16792499777135256
random_multiseed_baseline_v1,Moche,mrr,100,0.11220813573367978,0.07136830908251109,0.02611983674236426,0.031026658103909747,0.08789280677571878,0.27638249420496747,0.31837606837606836
random_multiseed_baseline_v1,Moche,precision_at_1,100,0.024999999999999994,0.059811713547106106,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
random_multiseed_baseline_v1,Moche,recall_at_1,100,0.005,0.011962342709421222,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333
random_multiseed_baseline_v1,Moche,ndcg_at_1,100,0.024999999999999994,0.059811713547106106,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
random_multiseed_baseline_v1,Moche,precision_at_5,100,0.029333333333333333,0.029693533780481823,0.0,0.0,0.03333333333333333,0.10000000000000002,0.13333333333333333
random_multiseed_baseline_v1,Moche,recall_at_5,100,0.029333333333333333,0.029693533780481823,0.0,0.0,0.03333333333333333,0.10000000000000002,0.13333333333333333
random_multiseed_baseline_v1,Moche,ndcg_at_5,100,0.028912007918379477,0.030674662422831477,0.0,0.0,0.02434472497378441,0.096076617518241,0.12045442877415861
random_multiseed_baseline_v1,Moche,precision_at_10,100,0.0325,0.022890825651118378,0.0,0.0,0.03333333333333333,0.07541666666666652,0.10000000000000002
random_multiseed_baseline_v1,Moche,recall_at_10,100,0.065,0.045781651302236756,0.0,0.0,0.06666666666666667,0.15083333333333304,0.20000000000000004
random_multiseed_baseline_v1,Moche,ndcg_at_10,100,0.04826469747072884,0.037238324431449255,0.0,0.0,0.040697176245356445,0.13313841963215706,0.17346873210024075
random_multiseed_baseline_v1,Nasca,mrr,100,0.4284671667758478,0.06041096200441066,0.30180272108843537,0.32850592165770737,0.4218822447393876,0.5572366780045351,0.5637358535184622
random_multiseed_baseline_v1,Nasca,precision_at_1,100,0.21971428571428567,0.0772325917085273,0.05714285714285714,0.09928571428571428,0.2,0.3864285714285712,0.42857142857142855
random_multiseed_baseline_v1,Nasca,recall_at_1,100,0.006462184873949578,0.0022715468149566848,0.001680672268907563,0.0029201680672268906,0.0058823529411764705,0.011365546218487387,0.012605042016806723
random_multiseed_baseline_v1,Nasca,ndcg_at_1,100,0.21971428571428567,0.0772325917085273,0.05714285714285714,0.09928571428571428,0.2,0.3864285714285712,0.42857142857142855
