baseline_version,run_index,generator_seed,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,22,20260736,strict_culture_universe,157,0.36884833639880654,0.1910828025477707,0.006617614421875632,0.1910828025477707,0.20127388535031845,0.03468117944707788,0.19852460601177246,0.1974522292993631,0.066001639897842,0.19797140774315522
random_multiseed_baseline_v1,23,20260737,strict_culture_universe,157,0.31799775830975785,0.12101910828025478,0.0035251385003278925,0.12101910828025478,0.17452229299363056,0.029311786855490997,0.16369043468639663,0.18089171974522295,0.060018928341882036,0.17274348752559163
random_multiseed_baseline_v1,24,20260738,strict_culture_universe,157,0.3851718789081428,0.17197452229299362,0.006849369388892732,0.17197452229299362,0.18980891719745224,0.03690932019848486,0.18937962339035963,0.1834394904458599,0.06624037917170908,0.18786088368528028
random_multiseed_baseline_v1,25,20260739,strict_culture_universe,157,0.3404234925893462,0.17197452229299362,0.006777704090802083,0.17197452229299362,0.1681528662420382,0.02801425603642109,0.16862279666413202,0.16687898089171976,0.057559728878346435,0.16904856191352163
random_multiseed_baseline_v1,26,20260740,strict_culture_universe,157,0.3994751395577518,0.22929936305732485,0.009521176810012494,0.22929936305732485,0.1834394904458599,0.038782795237094374,0.1896779276546286,0.1834394904458599,0.07211429002236283,0.1907562025153886
random_multiseed_baseline_v1,27,20260741,strict_culture_universe,157,0.360656854289503,0.15286624203821655,0.0054286612889679715,0.15286624203821655,0.1859872611464968,0.03842051967594557,0.1834689375827043,0.18598726114649689,0.06930486891043508,0.18682803104642887
random_multiseed_baseline_v1,28,20260742,strict_culture_universe,157,0.3661785352387269,0.20382165605095542,0.006354081946589417,0.20382165605095542,0.16560509554140126,0.030611275891434718,0.17077252921485042,0.17961783439490447,0.06310002484759633,0.17943844940601114
random_multiseed_baseline_v1,29,20260743,strict_culture_universe,157,0.38415886702643964,0.21019108280254778,0.007480997681036062,0.21019108280254778,0.18343949044585986,0.03458245267968924,0.18757854832772183,0.17707006369426753,0.0679566801087376,0.18488665837497692
random_multiseed_baseline_v1,30,20260744,strict_culture_universe,157,0.3819838016050701,0.21019108280254778,0.007396103540064465,0.21019108280254778,0.18471337579617833,0.036332962577605224,0.18694148410922914,0.18407643312101912,0.07032891298511015,0.18841367035905893
random_multiseed_baseline_v1,31,20260745,strict_culture_universe,157,0.3260207742742215,0.15286624203821655,0.004472784919467243,0.15286624203821655,0.15159235668789808,0.025250156766139738,0.1502043078706792,0.16878980891719744,0.06415888710618627,0.16503879263693028
random_multiseed_baseline_v1,32,20260746,strict_culture_universe,157,0.3711690543597828,0.18471337579617833,0.005905905938575522,0.18471337579617833,0.18216560509554142,0.03032374981995284,0.18589983030467877,0.1751592356687898,0.05944945711700868,0.18004419844918204
random_multiseed_baseline_v1,33,20260747,strict_culture_universe,157,0.36424177086705173,0.19745222929936307,0.0068228301107610976,0.19745222929936307,0.1770700636942675,0.030527371737882662,0.18012903236071515,0.17070063694267518,0.06200539249411122,0.17600098377736467
random_multiseed_baseline_v1,34,20260748,strict_culture_universe,157,0.36991453360595056,0.18471337579617833,0.006455164013717961,0.18471337579617833,0.18089171974522292,0.031162731521068895,0.18293838336269422,0.18280254777070065,0.0645792020396787,0.1851002474444495
random_multiseed_baseline_v1,35,20260749,strict_culture_universe,157,0.36127683932768057,0.19745222929936307,0.007616778263270509,0.19745222929936307,0.15796178343949044,0.027541101884283305,0.1665521396325678,0.1681528662420382,0.06446850295190315,0.1737247328585179
random_multiseed_baseline_v1,36,20260750,strict_culture_universe,157,0.36086414366775144,0.17834394904458598,0.006308770983925649,0.17834394904458598,0.1592356687898089,0.029583571039103848,0.1629253220782976,0.16560509554140126,0.06009142044265274,0.16845865889424805
random_multiseed_baseline_v1,37,20260751,strict_culture_universe,157,0.3883817322553699,0.21019108280254778,0.009134962047581189,0.21019108280254778,0.18980891719745224,0.033771293976655445,0.19118789988506515,0.18216560509554144,0.06602986541828165,0.18735435062783812
random_multiseed_baseline_v1,38,20260752,strict_culture_universe,157,0.3150130803726564,0.12101910828025478,0.003938670388149046,0.12101910828025478,0.16050955414012735,0.026724313307737266,0.15426762676246994,0.17388535031847135,0.06438922780546116,0.16759007979472096
random_multiseed_baseline_v1,39,20260753,strict_culture_universe,157,0.3927669346933723,0.2229299363057325,0.007258555123152259,0.2229299363057325,0.17961783439490442,0.030808354101311178,0.1856475941691234,0.1745222929936306,0.06115382924958084,0.18078171212672503
random_multiseed_baseline_v1,40,20260754,strict_culture_universe,157,0.3826922211067093,0.17197452229299362,0.006380191504907073,0.17197452229299362,0.20509554140127387,0.039008506929259196,0.20074775572460765,0.1980891719745223,0.07115673828953673,0.19774177408691287
random_multiseed_baseline_v1,41,20260755,strict_culture_universe,157,0.31990914314350943,0.1464968152866242,0.004688890469967698,0.1464968152866242,0.156687898089172,0.025898310232901612,0.15419971663989315,0.16178343949044585,0.054137353247963795,0.160398567370283
