replicate,metric,configuration_a,value_a,configuration_b,value_b,difference_b_minus_a
27,mean_rank,text_metadata,69.8744186047,text_fused_alpha_0.50,66.6651162791,-3.20930232558
27,median_rank,text_metadata,64,text_fused_alpha_0.50,50,-14
27,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0.0046511627907,0.0046511627907
27,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.0372093023256,-0.0046511627907
27,recall_at_10,text_metadata,0.120930232558,text_fused_alpha_0.50,0.13023255814,0.0093023255814
28,mrr,text_metadata,0.0653152380419,text_fused_alpha_0.50,0.0666633270613,0.00134808901941
28,mean_rank,text_metadata,73.5162790698,text_fused_alpha_0.50,72.6279069767,-0.888372093023
28,median_rank,text_metadata,59,text_fused_alpha_0.50,57,-2
28,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0139534883721,-0.0046511627907
28,recall_at_5,text_metadata,0.0790697674419,text_fused_alpha_0.50,0.102325581395,0.0232558139535
28,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.148837209302,0.0232558139535
29,mrr,text_metadata,0.0570631811091,text_fused_alpha_0.50,0.059808950696,0.00274576958688
29,mean_rank,text_metadata,72.0976744186,text_fused_alpha_0.50,69.8837209302,-2.21395348837
29,median_rank,text_metadata,60,text_fused_alpha_0.50,57,-3
29,recall_at_1,text_metadata,0.0046511627907,text_fused_alpha_0.50,0.0093023255814,0.0046511627907
29,recall_at_5,text_metadata,0.0604651162791,text_fused_alpha_0.50,0.0837209302326,0.0232558139535
29,recall_at_10,text_metadata,0.116279069767,text_fused_alpha_0.50,0.148837209302,0.0325581395349
30,mrr,text_metadata,0.0685813987674,text_fused_alpha_0.50,0.0713500973772,0.0027686986098
30,mean_rank,text_metadata,68.4930232558,text_fused_alpha_0.50,66.4372093023,-2.05581395349
30,median_rank,text_metadata,56,text_fused_alpha_0.50,50,-6
30,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0186046511628,0.0093023255814
30,recall_at_5,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.0837209302326,-0.0046511627907
30,recall_at_10,text_metadata,0.120930232558,text_fused_alpha_0.50,0.148837209302,0.0279069767442
31,mrr,text_metadata,0.0541855099568,text_fused_alpha_0.50,0.0468289519137,-0.00735655804312
31,mean_rank,text_metadata,75.9627906977,text_fused_alpha_0.50,73.6511627907,-2.31162790698
31,median_rank,text_metadata,66,text_fused_alpha_0.50,63,-3
31,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0046511627907,-0.0046511627907
31,recall_at_5,text_metadata,0.046511627907,text_fused_alpha_0.50,0.046511627907,0
31,recall_at_10,text_metadata,0.111627906977,text_fused_alpha_0.50,0.106976744186,-0.0046511627907
32,mrr,text_metadata,0.0484964833324,text_fused_alpha_0.50,0.0551367693998,0.00664028606742
32,mean_rank,text_metadata,72.911627907,text_fused_alpha_0.50,69.9534883721,-2.95813953488
32,median_rank,text_metadata,58,text_fused_alpha_0.50,50,-8
32,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0.0046511627907,0.0046511627907
32,recall_at_5,text_metadata,0.0558139534884,text_fused_alpha_0.50,0.0744186046512,0.0186046511628
32,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.13023255814,0.0279069767442
33,mrr,text_metadata,0.047578578471,text_fused_alpha_0.50,0.0540249758294,0.0064463973584
33,mean_rank,text_metadata,67.9348837209,text_fused_alpha_0.50,67.9488372093,0.0139534883721
33,median_rank,text_metadata,55,text_fused_alpha_0.50,52,-3
33,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0,0
33,recall_at_5,text_metadata,0.0651162790698,text_fused_alpha_0.50,0.093023255814,0.0279069767442
33,recall_at_10,text_metadata,0.106976744186,text_fused_alpha_0.50,0.13023255814,0.0232558139535
34,mrr,text_metadata,0.0532490306392,text_fused_alpha_0.50,0.0501194921678,-0.00312953847141
34,mean_rank,text_metadata,67.2325581395,text_fused_alpha_0.50,64.3488372093,-2.88372093023
34,median_rank,text_metadata,60,text_fused_alpha_0.50,49,-11
34,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0093023255814,-0.0046511627907
34,recall_at_5,text_metadata,0.0418604651163,text_fused_alpha_0.50,0.046511627907,0.0046511627907
34,recall_at_10,text_metadata,0.106976744186,text_fused_alpha_0.50,0.0883720930233,-0.0186046511628
35,mrr,text_metadata,0.0660742066223,text_fused_alpha_0.50,0.0635025728218,-0.00257163380049
35,mean_rank,text_metadata,62.0372093023,text_fused_alpha_0.50,62.7255813953,0.688372093023
35,median_rank,text_metadata,48,text_fused_alpha_0.50,50,2
35,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0139534883721,0
35,recall_at_5,text_metadata,0.0697674418605,text_fused_alpha_0.50,0.0651162790698,-0.0046511627907
35,recall_at_10,text_metadata,0.144186046512,text_fused_alpha_0.50,0.176744186047,0.0325581395349
36,mrr,text_metadata,0.0701510657514,text_fused_alpha_0.50,0.0605661082832,-0.00958495746822
36,mean_rank,text_metadata,68.5348837209,text_fused_alpha_0.50,67.3348837209,-1.2
36,median_rank,text_metadata,55,text_fused_alpha_0.50,54,-1
36,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0093023255814,-0.0093023255814
36,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.0744186046512,-0.0093023255814
36,recall_at_10,text_metadata,0.0976744186047,text_fused_alpha_0.50,0.144186046512,0.046511627907
37,mrr,text_metadata,0.0681519487383,text_fused_alpha_0.50,0.0613418557512,-0.0068100929871
37,mean_rank,text_metadata,69.8697674419,text_fused_alpha_0.50,70.7302325581,0.860465116279
37,median_rank,text_metadata,56,text_fused_alpha_0.50,55,-1
37,recall_at_1,text_metadata,0.0232558139535,text_fused_alpha_0.50,0.0139534883721,-0.0093023255814
37,recall_at_5,text_metadata,0.0790697674419,text_fused_alpha_0.50,0.0790697674419,0
37,recall_at_10,text_metadata,0.139534883721,text_fused_alpha_0.50,0.13488372093,-0.0046511627907
38,mrr,text_metadata,0.0639237701817,text_fused_alpha_0.50,0.0756089331381,0.0116851629564
38,mean_rank,text_metadata,65.7813953488,text_fused_alpha_0.50,67.1953488372,1.41395348837
38,median_rank,text_metadata,59,text_fused_alpha_0.50,54,-5
38,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0279069767442,0.0186046511628
38,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.093023255814,0.0093023255814
38,recall_at_10,text_metadata,0.116279069767,text_fused_alpha_0.50,0.13488372093,0.0186046511628
39,mrr,text_metadata,0.0545052449288,text_fused_alpha_0.50,0.0561673168085,0.00166207187974
39,mean_rank,text_metadata,72.8186046512,text_fused_alpha_0.50,72.4837209302,-0.33488372093
39,median_rank,text_metadata,60,text_fused_alpha_0.50,58,-2
39,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0186046511628,0.0093023255814
39,recall_at_5,text_metadata,0.0604651162791,text_fused_alpha_0.50,0.046511627907,-0.0139534883721
39,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.0883720930233,-0.0139534883721
40,mrr,text_metadata,0.0584282607223,text_fused_alpha_0.50,0.0669762800997,0.00854801937745
40,mean_rank,text_metadata,71.7348837209,text_fused_alpha_0.50,66.0651162791,-5.66976744186
40,median_rank,text_metadata,60,text_fused_alpha_0.50,47,-13
40,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0139534883721,0
40,recall_at_5,text_metadata,0.0790697674419,text_fused_alpha_0.50,0.0744186046512,-0.0046511627907
40,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.158139534884,0.0325581395349
41,mrr,text_metadata,0.0523210916985,text_fused_alpha_0.50,0.056057874775,0.00373678307648
41,mean_rank,text_metadata,78.023255814,text_fused_alpha_0.50,77.1860465116,-0.837209302326
41,median_rank,text_metadata,65,text_fused_alpha_0.50,62,-3
41,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0186046511628,0.0046511627907
