item_id,museum,image_url,download_status,acquisition_action,failure_code,failure_detail,http_status,attempt_count,final_url,content_type,image_local_path,filename,image_bytes,image_width,image_height,image_format,sha256,download_version
CMA:119676,CMA,https://openaccess-cdn.clevelandart.org/1940.515/1940.515_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.515/1940.515_web.jpg,image/jpeg,data/images/cma/CMA_119676.jpg,CMA_119676.jpg,345598,1263,432,JPEG,cea0a91fa5f8fc90fdc4034fb2e272803b59a2f2f6fe83273b0019241993d8e1,image_download_v1
CMA:119677,CMA,https://openaccess-cdn.clevelandart.org/1940.516/1940.516_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.516/1940.516_web.jpg,image/jpeg,data/images/cma/CMA_119677.jpg,CMA_119677.jpg,190501,336,893,JPEG,c34bd781b64beb01dc054ede6dd9ece8fd9fb03f5fc9fd916b4b9650ff892edf,image_download_v1
CMA:119678,CMA,https://openaccess-cdn.clevelandart.org/1940.517/1940.517_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.517/1940.517_web.jpg,image/jpeg,data/images/cma/CMA_119678.jpg,CMA_119678.jpg,251540,372,893,JPEG,3cd33082e2df2d840eed0bdf6696d088da21a284ffea9e50ccb122c1630bcd61,image_download_v1
CMA:119679,CMA,https://openaccess-cdn.clevelandart.org/1940.518/1940.518_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.518/1940.518_web.jpg,image/jpeg,data/images/cma/CMA_119679.jpg,CMA_119679.jpg,479064,533,893,JPEG,15d840877673b4d71150663401c1e6726072ae69f81e31a8f919c40b9989418a,image_download_v1
CMA:119680,CMA,https://openaccess-cdn.clevelandart.org/1940.519/1940.519_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.519/1940.519_web.jpg,image/jpeg,data/images/cma/CMA_119680.jpg,CMA_119680.jpg,355392,489,893,JPEG,046b556cbb809c5f3bcd18b47a2647e605c80e4a3599c8a3b43db734b20dadfc,image_download_v1
CMA:119682,CMA,https://openaccess-cdn.clevelandart.org/1940.520/1940.520_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.520/1940.520_web.jpg,image/jpeg,data/images/cma/CMA_119682.jpg,CMA_119682.jpg,170163,509,900,JPEG,ea9f6ae3364c594d8ad7d3a55e478ac7638e19c9ea79f405f97b034c466f2533,image_download_v1
CMA:119683,CMA,https://openaccess-cdn.clevelandart.org/1940.521/1940.521_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.521/1940.521_web.jpg,image/jpeg,data/images/cma/CMA_119683.jpg,CMA_119683.jpg,219768,565,900,JPEG,d8b0dab52942203e04db28f070b190b990b5d2e1cef935590e04c15685fac1ca,image_download_v1
CMA:119684,CMA,https://openaccess-cdn.clevelandart.org/1940.522/1940.522_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.522/1940.522_web.jpg,image/jpeg,data/images/cma/CMA_119684.jpg,CMA_119684.jpg,400281,493,893,JPEG,f9ccd4c9de2f07c0821e77b34b87832ef31924a1198be1e4e22ffd9786fd11e2,image_download_v1
CMA:119685,CMA,https://openaccess-cdn.clevelandart.org/1940.523/1940.523_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.523/1940.523_web.jpg,image/jpeg,data/images/cma/CMA_119685.jpg,CMA_119685.jpg,199636,526,900,JPEG,9807b1148ba1993a76615af722a726142ae8da9119ca9dba48f5e6d6f8875d1f,image_download_v1
CMA:119686,CMA,https://openaccess-cdn.clevelandart.org/1940.524/1940.524_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.524/1940.524_web.jpg,image/jpeg,data/images/cma/CMA_119686.jpg,CMA_119686.jpg,212249,549,900,JPEG,d85b7ce49168604662379a9a31e4245e7d0c74477f7d056bee18e031d2c14c3f,image_download_v1
CMA:119687,CMA,https://openaccess-cdn.clevelandart.org/1940.525/1940.525_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.525/1940.525_web.jpg,image/jpeg,data/images/cma/CMA_119687.jpg,CMA_119687.jpg,401422,563,893,JPEG,df60750814b3ac602459f694d00b382296057788d023011b5c963e3aa11ef5cb,image_download_v1
CMA:119688,CMA,https://openaccess-cdn.clevelandart.org/1940.526/1940.526_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.526/1940.526_web.jpg,image/jpeg,data/images/cma/CMA_119688.jpg,CMA_119688.jpg,491880,585,893,JPEG,38d027b319a8f681136e5f41927611da16c62213e8a9275071decceb193e2039,image_download_v1
CMA:119689,CMA,https://openaccess-cdn.clevelandart.org/1940.527/1940.527_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.527/1940.527_web.jpg,image/jpeg,data/images/cma/CMA_119689.jpg,CMA_119689.jpg,221155,550,900,JPEG,bb188a892a1cee5b57645335cd34651c1c934df001f52a7c2779a21191b52e56,image_download_v1
CMA:119690,CMA,https://openaccess-cdn.clevelandart.org/1940.528/1940.528_web.jpg,available,downloaded,,,200,1,https://openaccess-cdn.clevelandart.org/1940.528/1940.528_web.jpg,image/jpeg,data/images/cma/CMA_119690.jpg,CMA_119690.jpg,815815,1188,893,JPEG,588a2bbadc36698709355dcd18c27c0450220eb378afaf3d80360626d22a698f,image_download_v1
