item_id,museum,culture_mapping_decision,culture_strict_ground_truth_eligible,culture_query_eligible,selected_local_image_column,local_image_value,resolved_image_path,local_image_reference_available,local_image_exists,local_image_readable,image_width,image_height,image_format,image_error,selected_image_url_column,image_source_url,text_fields_used,text_input,text_character_count,text_input_available,openclip_image_ready,openclip_text_ready,openclip_multimodal_ready,openclip_image_evaluation_ready,openclip_multimodal_evaluation_ready,audit_version
CMA:119652,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.494/1940.494_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Painted Wrapping for Mummy. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c.1100–1400 A.D.. technique: plain cloth, painted; cotton",208,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119655,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.497/1940.497_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragmentary Mantle. object type: Textile. culture: Peru, South Coast, Ica Valley ?, Inca Culture, 15th-16th century. culture canonical: Inca. period: c. 1400–1532. technique: tapestry and fancy twill, brocaded; twill",223,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119656,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.498/1940.498_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Dress. object type: Textile. culture: Peru, South Highlands or South Coast, Chuquibamba style, 12th-16th century. culture canonical: Chuquibamba. period: c. 1100–1532. technique: camelid fiber; tapestry and complementary-weft weave",238,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119675,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.514/1940.514_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Tunic. object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site?, Paracas people. culture canonical: Paracas. period: 400–200 BCE. technique: looped camelid fiber. description: The striking, large-scale figure shown on this tunic has an elaborate, monkey-like tail as well as head appendages that mark the creature as supernatural. This tunic, a relatively rare type, was made not on a loom but rather by working the yarns into loops with a needle. It is made entirely with camelid fiber, which can readily be dyed in a range of vivid colors. The fiber comes from one of the four camels (camelids) native to the Andes Mountains—the alpaca and llama, both domesticated, and the wild guanaco and vicuña. On the coast, it represents a prestige import.",773,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119676,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.515/1940.515_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Mantle. object type: Textile. culture: Peru, South Coast, Paracas. culture canonical: Paracas. period: c. 600–400 BCE. technique: embroidery on wool ground",162,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119677,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.516/1940.516_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style. culture canonical: Paracas. period: 200–1 BCE. technique: cotton and pigment, plain weave. description: The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",696,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119678,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.517/1940.517_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style. culture canonical: Paracas. period: 200 BCE–1 CE. technique: plain warp-faced cloth, painted. description: The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",699,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119679,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.518/1940.518_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE). culture canonical: Paracas. period: 200 BCE–1 CE. technique: warp-faced cloth, painted: cotton. description: The Paracas people of Peru's South Coast buried their dead in pear-shaped mummy bundles made of a seated human body carefully wrapped in garments and other textiles. Sometimes a painted cloth was placed at the top of the bundle, as though it served as the bundle's face, head, or ""mask."" The cloth was padded on the back so it curved outward like a face, and the tress-like yarns (unwoven warps) at the upper edge were arranged around a solid cotton disk that, in turn, was wrapped with a headband. Some cloths were painted with mask-like faces, and others with full figures, apparently mythical creatures.",849,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119680,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.519/1940.519_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE). culture canonical: Paracas. period: 200–1 BCE. technique: plain warp-faced cloth, painted: cotton. description: The Paracas people of Peru's South Coast buried their dead in pear-shaped mummy bundles made of a seated human body carefully wrapped in garments and other textiles. Sometimes a painted cloth was placed at the top of the bundle, as though it served as the bundle's face, head, or ""mask."" The cloth was padded on the back so it curved outward like a face, and the tress-like yarns (unwoven warps) at the upper edge were arranged around a solid cotton disk that, in turn, was wrapped with a headband. Some cloths were painted with mask-like faces, and others with full figures, apparently mythical creatures.",852,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119682,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.520/1940.520_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style. culture canonical: Paracas. period: 200–1 BCE. technique: cotton: plain warp-faced cloth, painted. description: The Paracas people buried their dead in pear-shaped mummy bundles, created by carefully wrapping the seated human body in layers of garments and other textiles. Sometimes a painted cloth was placed on the outer layer at the top of the bundle, as though it served as the bundle’s face, head, or “mask.” Some cloths were painted with masklike faces, although others—such as this example—feature complete figures, which may be mythological beings with supernatural appendages.",704,True,False,True,False,False,False,openclip_input_audit_v1
CMA:119683,CMA,include_non_strict,False,False,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1940.521/1940.521_web.jpg,title | object_type | culture | culture_canonical | period | technique | description,"title: Mummy Bundle ""Mask"". object type: Textile. culture: Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE). culture canonical: Paracas. period: 400–200 BCE. technique: cotton and pigment, plain weave. description: The Paracas people buried their dead in bundles that they created by carefully wrapping the seated human body in layers of garments and other textiles. In some cases, they placed a painted <br>cloth—such as these examples—on the outer layer and at the top of the bundle. The hair-like <br>yarns (unwoven warps) were arranged around a solid cotton disk that was sometimes wrapped <br>with a headband. The cloths, then, seem to have functioned as the bundle’s head, even though <br>some are painted not with faces but with complete figures whose supernatural character is marked by the appendages streaming from their bodies.",863,True,False,True,False,False,False,openclip_input_audit_v1
