configuration,alpha,query_index,query_item_id,query_museum,matched_rank,reciprocal_rank,matched_score,top1_index,candidate_item_id,candidate_museum,top1_score,top1_is_match,query_title,query_culture_canonical,query_object_type,query_image_local_path,candidate_title,candidate_culture_canonical,candidate_object_type,candidate_image_local_path,self_match,same_museum,cross_museum,same_culture_canonical,same_object_type
text_fused_alpha_0.50,0.5,147,MET:308057,MET,7,0.142857142857,0.367177397013,144,MET:308048,MET,0.392086625099,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308057.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,141,MET:308042,MET,8,0.125,0.385514438152,144,MET:308048,MET,0.401872813702,False,Fragmento textil,Paracas,Border Fragment,data/images/met/MET_308042.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,136,MET:308035,MET,9,0.111111111111,0.372091680765,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308035.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,111,MET:307960,MET,12,0.0833333333333,0.365349411964,144,MET:308048,MET,0.393483400345,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_307960.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,151,MET:308070,MET,14,0.0714285714286,0.369776964188,144,MET:308048,MET,0.389748930931,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308070.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,124,MET:308016,MET,15,0.0666666666667,0.364101976156,144,MET:308048,MET,0.393483281136,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_308016.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,17,CMA:108034,CMA,20,0.05,0.335160493851,144,MET:308048,MET,0.35689753294,False,Fragment of a Double Cloth,Chancay,Textile,data/images/cma/CMA_108034.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,102,MET:307853,MET,21,0.047619047619,0.361240029335,144,MET:308048,MET,0.392086625099,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_307853.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,3,CMA:104238,CMA,22,0.0454545454545,0.324162006378,144,MET:308048,MET,0.351080238819,False,Fragment,Chimu,Textile,data/images/cma/CMA_104238.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,153,MET:308076,MET,23,0.0434782608696,0.367085725069,144,MET:308048,MET,0.389748930931,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308076.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,166,MET:308282,MET,24,0.0416666666667,0.360618054867,144,MET:308048,MET,0.385676860809,False,Panel textil,Nasca,Textile fragment,data/images/met/MET_308282.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,106,MET:307943,MET,25,0.04,0.362731158733,144,MET:308048,MET,0.397660970688,False,Fragmento textil,Chancay,Fragment,data/images/met/MET_307943.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,69,CMA:163676,CMA,28,0.0357142857143,0.319157630205,144,MET:308048,MET,0.350520551205,False,Textile Fragment with Interlace Pattern,Paracas,Textile,data/images/cma/CMA_163676.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,True,False
text_fused_alpha_0.50,0.5,160,MET:308100,MET,31,0.0322580645161,0.356135904789,144,MET:308048,MET,0.392086625099,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308100.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,155,MET:308078,MET,32,0.03125,0.366674602032,144,MET:308048,MET,0.406803846359,False,Fragmento textil,Paracas,Fragment,data/images/met/MET_308078.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,139,MET:308039,MET,35,0.0285714285714,0.36332565546,144,MET:308048,MET,0.389748930931,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308039.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,120,MET:307972,MET,36,0.0277777777778,0.356132030487,144,MET:308048,MET,0.393483281136,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_307972.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,140,MET:308040,MET,36,0.0277777777778,0.362582713366,144,MET:308048,MET,0.389748930931,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308040.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,43,CMA:124413,CMA,38,0.0263157894737,0.329913794994,144,MET:308048,MET,0.364879608154,False,Mantle Corner Fragment,Wari,Textile,data/images/cma/CMA_124413.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,150,MET:308068,MET,41,0.0243902439024,0.361945062876,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308068.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,63,CMA:157111,CMA,46,0.0217391304348,0.313849210739,144,MET:308048,MET,0.337583899498,False,Triple Cloth,Recuay,Textile,data/images/cma/CMA_157111.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,109,MET:307953,MET,47,0.0212765957447,0.362711936235,144,MET:308048,MET,0.402244001627,False,Fragmento textil,Nasca,Band fragment,data/images/met/MET_307953.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,115,MET:307964,MET,49,0.0204081632653,0.365037381649,144,MET:308048,MET,0.411469399929,False,Fragmento textil,Nasca,Band fragment,data/images/met/MET_307964.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,116,MET:307965,MET,50,0.02,0.365037381649,144,MET:308048,MET,0.411469399929,False,Fragmento textil,Nasca,Band fragment,data/images/met/MET_307965.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,103,MET:307933,MET,52,0.0192307692308,0.340593516827,144,MET:308048,MET,0.378292411566,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_307933.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,145,MET:308053,MET,55,0.0181818181818,0.36808526516,144,MET:308048,MET,0.401872813702,False,Fragmento textil,Paracas,Border Fragment,data/images/met/MET_308053.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,195,MET:316910,MET,57,0.0175438596491,0.338834524155,144,MET:308048,MET,0.370641022921,False,Fragmento textil,,Sash fragment,data/images/met/MET_316910.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,149,MET:308060,MET,68,0.0147058823529,0.364944547415,144,MET:308048,MET,0.402171850204,False,Fragmento textil,Paracas,Border Fragment,data/images/met/MET_308060.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,163,MET:308106,MET,68,0.0147058823529,0.345735609531,144,MET:308048,MET,0.392086625099,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308106.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,162,MET:308105,MET,72,0.0138888888889,0.353973448277,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_308105.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,178,MET:312614,MET,77,0.012987012987,0.344008564949,144,MET:308048,MET,0.382149517536,False,Túnica textil,Wari,Tunic fragment,data/images/met/MET_312614.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,19,CMA:108042,CMA,83,0.0120481927711,0.335431337357,144,MET:308048,MET,0.382088720798,False,Tapestry-woven Yoke from a Tunic,,Textile,data/images/cma/CMA_108042.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,60,CMA:155505,CMA,84,0.0119047619048,0.314899742603,144,MET:308048,MET,0.357875108719,False,Textile Fragment,,Textile,data/images/cma/CMA_155505.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,164,MET:308113,MET,84,0.0119047619048,0.340839743614,144,MET:308048,MET,0.39142498374,False,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308113.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,125,MET:308017,MET,88,0.0113636363636,0.342617869377,144,MET:308048,MET,0.393483281136,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_308017.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,142,MET:308044,MET,89,0.0112359550562,0.357829391956,144,MET:308048,MET,0.402171850204,False,Fragmento textil,Paracas,Border Fragment,data/images/met/MET_308044.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,53,CMA:134765,CMA,92,0.0108695652174,0.314822345972,144,MET:308048,MET,0.357928872108,False,Fragment,,Textile,data/images/cma/CMA_134765.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,112,MET:307961,MET,93,0.010752688172,0.338624000549,144,MET:308048,MET,0.385520637035,False,Fragmento textil,Nasca,Textile fragment,data/images/met/MET_307961.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
text_fused_alpha_0.50,0.5,113,MET:307962,MET,94,0.0106382978723,0.347937345505,144,MET:308048,MET,0.395125716925,False,Fragmento textil,Nasca,Bag fragment,data/images/met/MET_307962.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,False
text_fused_alpha_0.50,0.5,101,MET:307852,MET,95,0.0105263157895,0.348636865616,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_307852.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,80,CMA:165266,CMA,97,0.0103092783505,0.308330863714,144,MET:308048,MET,0.369451999664,False,Textile Fragments,Moche,Textile,data/images/cma/CMA_165266.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,23,CMA:114132,CMA,98,0.0102040816327,0.303855866194,144,MET:308048,MET,0.362062633038,False,Tie-Dyed Fragment,Wari,Textile,data/images/cma/CMA_114132.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,91,MET:307682,MET,100,0.01,0.345899999142,144,MET:308048,MET,0.407747507095,False,Fragmento textil,Paracas,Fragment,data/images/met/MET_307682.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,92,MET:307683,MET,105,0.00952380952381,0.346727788448,144,MET:308048,MET,0.390408098698,False,Manto textil,Paracas,Mantle fragment,data/images/met/MET_307683.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,True,False
text_fused_alpha_0.50,0.5,123,MET:308015,MET,105,0.00952380952381,0.329712510109,144,MET:308048,MET,0.377244114876,False,Panel textil,Nasca,Textile fragment,data/images/met/MET_308015.jpg,Fragmento textil,Paracas,Textile fragment,data/images/met/MET_308048.jpg,False,True,False,False,True
