configuration,alpha,query_index,item_id,museum,matched_rank,reciprocal_rank,matched_score,top1_index,top1_item_id,top1_museum,top1_score,top1_is_match
text_visual,,71,CMA:163724,CMA,2,0.5,0.359853297472,191,MET:315786,MET,0.365201324224,False
text_visual,,72,CMA:163758,CMA,32,0.03125,0.314941227436,61,CMA:155934,CMA,0.35311383009,False
text_visual,,73,CMA:163781,CMA,145,0.00689655172414,0.282634854317,144,MET:308048,MET,0.34090039134,False
text_visual,,74,CMA:164419,CMA,215,0.0046511627907,0.236043214798,58,CMA:152334,CMA,0.361434161663,False
text_visual,,75,CMA:164421,CMA,2,0.5,0.344650268555,85,CMA:169189,CMA,0.353287905455,False
text_visual,,76,CMA:164428,CMA,71,0.0140845070423,0.318898975849,151,MET:308070,MET,0.376858144999,False
text_visual,,77,CMA:164429,CMA,35,0.0285714285714,0.322394609451,151,MET:308070,MET,0.363258361816,False
text_visual,,78,CMA:164430,CMA,39,0.025641025641,0.319784283638,151,MET:308070,MET,0.363258361816,False
text_visual,,79,CMA:165184,CMA,57,0.0175438596491,0.327652394772,136,MET:308035,MET,0.381508946419,False
text_visual,,80,CMA:165266,CMA,97,0.0103092783505,0.308330863714,144,MET:308048,MET,0.369451999664,False
text_visual,,81,CMA:165267,CMA,83,0.0120481927711,0.310588896275,148,MET:308058,MET,0.372810781002,False
text_visual,,82,CMA:165268,CMA,44,0.0227272727273,0.331299304962,148,MET:308058,MET,0.372810781002,False
text_visual,,83,CMA:165269,CMA,16,0.0625,0.351278334856,148,MET:308058,MET,0.372810781002,False
text_visual,,84,CMA:166766,CMA,58,0.0172413793103,0.295666128397,181,MET:313121,MET,0.348829329014,False
text_visual,,85,CMA:169189,CMA,1,1,0.333608448505,85,CMA:169189,CMA,0.333608448505,True
text_visual,,86,CMA:292530,CMA,85,0.0117647058824,0.325305342674,77,CMA:164429,CMA,0.369351625443,False
text_visual,,87,CMA:302272,CMA,66,0.0151515151515,0.307397335768,212,MET:675980,MET,0.355344772339,False
text_visual,,88,MET:307449,MET,131,0.00763358778626,0.189955204725,38,CMA:119687,CMA,0.271274298429,False
text_visual,,89,MET:307677,MET,184,0.0054347826087,0.299811780453,144,MET:308048,MET,0.3634121418,False
text_visual,,90,MET:307679,MET,199,0.00502512562814,0.288509517908,144,MET:308048,MET,0.3634121418,False
text_visual,,91,MET:307682,MET,97,0.0103092783505,0.301789522171,144,MET:308048,MET,0.356847435236,False
text_visual,,92,MET:307683,MET,124,0.00806451612903,0.320641100407,144,MET:308048,MET,0.3634121418,False
text_visual,,93,MET:307806,MET,93,0.010752688172,0.317967414856,5,CMA:104241,CMA,0.36313444376,False
text_visual,,94,MET:307836,MET,39,0.025641025641,0.21627920866,38,CMA:119687,CMA,0.283134669065,False
text_visual,,95,MET:307841,MET,28,0.0357142857143,0.26166960597,40,CMA:119689,CMA,0.305744022131,False
text_visual,,96,MET:307842,MET,15,0.0666666666667,0.236885681748,38,CMA:119687,CMA,0.283134669065,False
text_visual,,97,MET:307843,MET,5,0.2,0.291585028172,40,CMA:119689,CMA,0.305744022131,False
text_visual,,98,MET:307844,MET,27,0.037037037037,0.262940466404,40,CMA:119689,CMA,0.305744022131,False
text_visual,,99,MET:307846,MET,34,0.0294117647059,0.250065594912,181,MET:313121,MET,0.282787829638,False
text_visual,,100,MET:307851,MET,197,0.00507614213198,0.289947390556,144,MET:308048,MET,0.3634121418,False
text_visual,,101,MET:307852,MET,141,0.00709219858156,0.314647912979,144,MET:308048,MET,0.3634121418,False
text_visual,,102,MET:307853,MET,29,0.0344827586207,0.320259362459,144,MET:308048,MET,0.355447202921,False
text_visual,,103,MET:307933,MET,44,0.0227272727273,0.315961122513,144,MET:308048,MET,0.351882576942,False
text_visual,,104,MET:307940,MET,89,0.0112359550562,0.305830895901,144,MET:308048,MET,0.351882576942,False
text_visual,,105,MET:307941,MET,142,0.00704225352113,0.186341121793,38,CMA:119687,CMA,0.284662812948,False
text_visual,,106,MET:307943,MET,48,0.0208333333333,0.319131702185,144,MET:308048,MET,0.360283881426,False
text_visual,,107,MET:307944,MET,38,0.0263157894737,0.3481092453,11,CMA:104247,CMA,0.37618881464,False
text_visual,,108,MET:307950,MET,3,0.333333333333,0.322716802359,210,MET:320054,MET,0.328570455313,False
text_visual,,109,MET:307953,MET,68,0.0147058823529,0.320975720882,144,MET:308048,MET,0.368346571922,False
text_visual,,110,MET:307959,MET,81,0.0123456790123,0.336653828621,11,CMA:104247,CMA,0.37618881464,False
text_visual,,111,MET:307960,MET,48,0.0208333333333,0.316294580698,144,MET:308048,MET,0.355447202921,False
text_visual,,112,MET:307961,MET,82,0.0121951219512,0.307139337063,144,MET:308048,MET,0.351882576942,False
text_visual,,113,MET:307962,MET,129,0.0077519379845,0.308195114136,144,MET:308048,MET,0.359356462955,False
text_visual,,114,MET:307963,MET,34,0.0294117647059,0.258635252714,40,CMA:119689,CMA,0.305744022131,False
text_visual,,115,MET:307964,MET,45,0.0222222222222,0.327143251896,144,MET:308048,MET,0.372740715742,False
text_visual,,116,MET:307965,MET,46,0.0217391304348,0.327143251896,144,MET:308048,MET,0.372740715742,False
text_visual,,117,MET:307966,MET,146,0.00684931506849,0.303352326155,144,MET:308048,MET,0.372740715742,False
text_visual,,118,MET:307967,MET,147,0.00680272108844,0.303352326155,144,MET:308048,MET,0.372740715742,False
text_visual,,119,MET:307968,MET,71,0.0140845070423,0.320255815983,144,MET:308048,MET,0.372740715742,False
text_visual,,120,MET:307972,MET,18,0.0555555555556,0.32257193327,144,MET:308048,MET,0.355447053909,False
text_visual,,121,MET:307975,MET,45,0.0222222222222,0.27524960041,170,MET:308290,MET,0.318141758442,False
text_visual,,122,MET:307991,MET,79,0.0126582278481,0.268668055534,170,MET:308290,MET,0.314842581749,False
text_visual,,123,MET:308015,MET,42,0.0238095238095,0.310245901346,59,CMA:152819,CMA,0.350014686584,False
text_visual,,124,MET:308016,MET,12,0.0833333333333,0.329811006784,144,MET:308048,MET,0.355447053909,False
text_visual,,125,MET:308017,MET,136,0.00735294117647,0.293552279472,144,MET:308048,MET,0.355447053909,False
text_visual,,126,MET:308021,MET,42,0.0238095238095,0.25507825613,40,CMA:119689,CMA,0.305744022131,False
text_visual,,127,MET:308022,MET,42,0.0238095238095,0.218022882938,38,CMA:119687,CMA,0.274071186781,False
text_visual,,128,MET:308023,MET,97,0.0103092783505,0.236548185349,40,CMA:119689,CMA,0.305744022131,False
text_visual,,129,MET:308024,MET,10,0.1,0.240862652659,38,CMA:119687,CMA,0.274071186781,False
text_visual,,130,MET:308025,MET,61,0.016393442623,0.245546028018,40,CMA:119689,CMA,0.305744022131,False
text_visual,,131,MET:308026,MET,37,0.027027027027,0.258198022842,40,CMA:119689,CMA,0.305744022131,False
text_visual,,132,MET:308027,MET,22,0.0454545454545,0.266239583492,40,CMA:119689,CMA,0.305744022131,False
text_visual,,133,MET:308028,MET,58,0.0172413793103,0.247040420771,40,CMA:119689,CMA,0.305744022131,False
text_visual,,134,MET:308029,MET,144,0.00694444444444,0.221250623465,40,CMA:119689,CMA,0.305744022131,False
text_visual,,135,MET:308034,MET,26,0.0384615384615,0.345667749643,144,MET:308048,MET,0.3634121418,False
text_visual,,136,MET:308035,MET,17,0.0588235294118,0.347994059324,144,MET:308048,MET,0.3634121418,False
text_visual,,137,MET:308036,MET,164,0.00609756097561,0.308621883392,144,MET:308048,MET,0.3634121418,False
text_visual,,138,MET:308037,MET,186,0.00537634408602,0.284728229046,5,CMA:104241,CMA,0.360512286425,False
text_visual,,139,MET:308039,MET,116,0.00862068965517,0.32192337513,144,MET:308048,MET,0.3634121418,False
text_visual,,140,MET:308040,MET,77,0.012987012987,0.330769121647,144,MET:308048,MET,0.3634121418,False
text_visual,,141,MET:308042,MET,18,0.0555555555556,0.337749153376,5,CMA:104241,CMA,0.360512286425,False
text_visual,,142,MET:308044,MET,42,0.0238095238095,0.328872323036,5,CMA:104241,CMA,0.360512286425,False
text_visual,,143,MET:308046,MET,120,0.00833333333333,0.31183052063,5,CMA:104241,CMA,0.360512286425,False
text_visual,,144,MET:308048,MET,1,1,0.355447202921,144,MET:308048,MET,0.355447202921,True
text_visual,,145,MET:308053,MET,43,0.0232558139535,0.328015953302,5,CMA:104241,CMA,0.360512316227,False
text_visual,,146,MET:308056,MET,7,0.142857142857,0.334180235863,144,MET:308048,MET,0.355447202921,False
text_visual,,147,MET:308057,MET,9,0.111111111111,0.330913692713,144,MET:308048,MET,0.355447202921,False
text_visual,,148,MET:308058,MET,118,0.00847457627119,0.311870276928,5,CMA:104241,CMA,0.360512316227,False
text_visual,,149,MET:308060,MET,79,0.0126582278481,0.320738911629,5,CMA:104241,CMA,0.360512316227,False
