configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub
text_metadata,30,CMA:108043,CMA,1,0,1,0.0046511627907,False
text_metadata,31,CMA:119680,CMA,1,0,1,0.0046511627907,False
text_metadata,32,CMA:119685,CMA,1,0,1,0.0046511627907,False
text_metadata,33,CMA:119690,CMA,1,0,1,0.0046511627907,False
text_metadata,34,CMA:134765,CMA,1,0,1,0.0046511627907,False
text_metadata,35,CMA:152258,CMA,1,0,1,0.0046511627907,False
text_metadata,36,CMA:160691,CMA,1,0,1,0.0046511627907,False
text_metadata,37,CMA:163724,CMA,1,0,1,0.0046511627907,False
text_metadata,38,CMA:164428,CMA,1,0,1,0.0046511627907,False
text_metadata,39,MET:307944,MET,1,0,1,0.0046511627907,False
text_metadata,40,MET:307961,MET,1,0,1,0.0046511627907,False
text_metadata,41,MET:308035,MET,1,0,1,0.0046511627907,False
text_metadata,42,MET:316939,MET,1,0,1,0.0046511627907,False
text_metadata,43,MET:320804,MET,1,0,1,0.0046511627907,False
text_metadata,44,CMA:114131,CMA,1,1,0,0.0046511627907,False
text_metadata,45,CMA:157112,CMA,1,1,0,0.0046511627907,False
text_metadata,46,CMA:102924,CMA,0,0,0,0,False
text_metadata,47,CMA:104234,CMA,0,0,0,0,False
text_metadata,48,CMA:104236,CMA,0,0,0,0,False
text_metadata,49,CMA:104238,CMA,0,0,0,0,False
text_metadata,50,CMA:104240,CMA,0,0,0,0,False
text_metadata,51,CMA:104242,CMA,0,0,0,0,False
text_metadata,52,CMA:104243,CMA,0,0,0,0,False
text_metadata,53,CMA:104244,CMA,0,0,0,0,False
text_metadata,54,CMA:104245,CMA,0,0,0,0,False
text_metadata,55,CMA:104246,CMA,0,0,0,0,False
text_metadata,56,CMA:104247,CMA,0,0,0,0,False
text_metadata,57,CMA:104248,CMA,0,0,0,0,False
text_metadata,58,CMA:104249,CMA,0,0,0,0,False
text_metadata,59,CMA:104390,CMA,0,0,0,0,False
text_metadata,60,CMA:108026,CMA,0,0,0,0,False
text_metadata,61,CMA:108033,CMA,0,0,0,0,False
text_metadata,62,CMA:108034,CMA,0,0,0,0,False
text_metadata,63,CMA:108038,CMA,0,0,0,0,False
text_metadata,64,CMA:108042,CMA,0,0,0,0,False
text_metadata,65,CMA:108044,CMA,0,0,0,0,False
text_metadata,66,CMA:114132,CMA,0,0,0,0,False
text_metadata,67,CMA:119652,CMA,0,0,0,0,False
text_metadata,68,CMA:119655,CMA,0,0,0,0,False
